路遥	https://movie.douban.com/subject/7051283/	(2010)	[ 演员 ]	
人说山西好风光	https://movie.douban.com/subject/26811769/	(2016)	[ 演员 ]	
无涯：杜琪峰的电影世界	https://movie.douban.com/subject/24878178/	(2013)	[ 演员 ]	
中国，新的崛起	https://movie.douban.com/subject/24527478/	(2013)	[ 演员 ]	
小武	https://movie.douban.com/subject/1291851/	(1998)	[ 导演 制片 编剧 ]
汾阳小子贾樟柯	https://movie.douban.com/subject/25780590/	(2014)	[ 演员 ]
站台	https://movie.douban.com/subject/1291850/	(2000)	[ 导演 编剧 ]
十三邀 第一季	https://movie.douban.com/subject/26801784/	(2016)	[ 演员 ]
小贾回家	https://movie.douban.com/subject/3724126/	(2007)	[ 演员 ]
三峡好人	https://movie.douban.com/subject/1872133/	(2006)	[ 导演 制片 编剧 ]
天注定	https://movie.douban.com/subject/21941283/	(2013)	[ 演员 导演 制片 编剧 ]
任逍遥	https://movie.douban.com/subject/1291848/	(2002)	[ 演员 导演 编剧 ]
爱的联想之《多背一公斤》	https://movie.douban.com/subject/6735613/	(2011)	[ 制片 ]
山河故人	https://movie.douban.com/subject/25890005/	(2015)	[ 导演 制片 编剧 ]
赖小子	https://movie.douban.com/subject/1485319/	(2006)	[ 制片 ]
海上传奇	https://movie.douban.com/subject/3768185/	(2010)	[ 导演 编剧 ]
二十四城记	https://movie.douban.com/subject/3053521/	(2008)	[ 导演 制片 编剧 ]
语路	https://movie.douban.com/subject/6041207/	(2011)	[ 制片 ]
营生	https://movie.douban.com/subject/26846989/	(2016)	[ 演员 导演 编剧 ]
Hello！树先生	https://movie.douban.com/subject/4135710/	(2011)	[ 制片 ]
爱的联想之《十二邻》	https://movie.douban.com/subject/6846463/	(2011)	[ 制片 ]
世界	https://movie.douban.com/subject/1309087/	(2004)	[ 导演 编剧 ]
无用	https://movie.douban.com/subject/2230890/	(2007)	[ 导演 摄影 编剧 ]
小山回家	https://movie.douban.com/subject/2138300/	(1995)	[ 导演 剪辑 编剧 ]
我们的时代 十年敢想录	https://movie.douban.com/subject/26575062/	(2015)	[ 演员 导演 ]
中国电影的前世今生	https://movie.douban.com/subject/4707212/	(2007)	[ 演员 ]
后会无期	https://movie.douban.com/subject/25805741/	(2014)	[ 演员 (饰 苏米三叔) ]
美好合一2016	https://movie.douban.com/subject/26735027/	(2016)	[ 导演 编剧 ]
狗的状况	https://movie.douban.com/subject/1900458/	(2001)	[ 导演 编剧 ]
东	https://movie.douban.com/subject/1870250/	(2006)	[ 导演 摄影 编剧 ]
第52届金马奖颁奖典礼	https://movie.douban.com/subject/26740510/	(2015)	[ 演员 ]
记忆望着我	https://movie.douban.com/subject/10807880/	(2012)	[ 制片 ]
人在霾途	https://movie.douban.com/subject/26309998/	(2015)	[ 导演 制片 编剧 ]
爱的联想之《科学松鼠会》	https://movie.douban.com/subject/6875760/	(2011)	[ 制片 ]
公共场所	https://movie.douban.com/subject/1308706/	(2001)	[ 导演 剪辑 摄影 编剧 ]
河上的爱情	https://movie.douban.com/subject/3212098/	(2008)	[ 导演 编剧 ]
光阴的故事－台湾新电影	https://movie.douban.com/subject/25957243/	(2014)	[ 演员 ]
忘了去懂你	https://movie.douban.com/subject/10807892/	(2014)	[ 制片 ]
一切都好	https://movie.douban.com/subject/26425088/	(2016)	[ 演员 ]
完美生活	https://movie.douban.com/subject/3197788/	(2008)	[ 制片 ]
我们的十年	https://movie.douban.com/subject/3733852/	(2007)	[ 导演 编剧 ]
人权故事	https://movie.douban.com/subject/3396827/	(2008)	[ 导演 ]
大暑	https://movie.douban.com/subject/25934688/	(2014)	[ 制片 ]
枝繁叶茂	https://movie.douban.com/subject/26719002/	(2016)	[ 制片 ]
明日天涯	https://movie.douban.com/subject/1401871/	(2003)	[ 制片 ]
时间去哪儿了	https://movie.douban.com/subject/27025637/	(2017)	[ 导演 ]
十年	https://movie.douban.com/subject/4859817/	(2008)	[ 导演 编剧 ]
威尼斯70周年：重启未来	https://movie.douban.com/subject/24869682/	(2013)	[ 导演 ]
在码头	https://movie.douban.com/subject/26692676/	(2017)	[ 制片 ]
城堡	https://movie.douban.com/subject/26304581/	(2015)	[ 制片 ]
黑色早餐	https://movie.douban.com/subject/4826772/	(2008)	[ 导演 ]
这一刻	https://movie.douban.com/subject/1806167/	(2005)	[ 导演 ]
血战到底	https://movie.douban.com/subject/1868849/	(2006)	[ 演员 ]
在那里	https://movie.douban.com/subject/4258506/	(2007)	[ 导演 ]
荡寇	https://movie.douban.com/subject/2135982/	(2008)	[ 制片 ]
人说山西好风光 第二季	https://movie.douban.com/subject/27167128/	(2017)	[ 演员 ]
嘟嘟	https://movie.douban.com/subject/3076632/	(1996)	[ 导演 编剧 ]
幸福中国	https://movie.douban.com/subject/4074145/	(2009)	[ 演员 ]
一部影片的电影	https://movie.douban.com/subject/26691366/	(2015)	[ 演员 ]
双雄会	https://movie.douban.com/subject/4822837/	(2020)	(未上映)
我爱法国电影	https://movie.douban.com/subject/27118009/	(2015)	[ 演员 ]
在清朝	https://movie.douban.com/subject/3804747/	(2019)	(未上映)
平静	https://movie.douban.com/subject/27073062/	(2018)	(未上映)
云游	https://movie.douban.com/subject/26715606/	(2018)	(未上映)
状元图	https://movie.douban.com/subject/10439251/	(2020)	(未上映)
中国制作	https://movie.douban.com/subject/26665941/	(2004)	[ 演员 ]
笑里藏刀	https://movie.douban.com/subject/27102565/	(2017)	(未上映)
江湖儿女	https://movie.douban.com/subject/26972258/	(2019)	(未上映)
拿摩一等	https://movie.douban.com/subject/27157989/	(2017)	[ 制片 ]
Journey to the West	https://movie.douban.com/subject/26953450/	(2018)	(未上映)
一人一个回答	https://movie.douban.com/subject/26928301/	(2007)	[ 导演 ]
革命是可以被原谅的	https://movie.douban.com/subject/11538041/	(2012)	[ 制片 ]
3.11 家的感觉	https://movie.douban.com/subject/6425130/	(2011)	[ 导演 ]
